#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244494309
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-0.0499875,0.000279769379287004,0.447983954163675
-0.049975,0.000952708703058192,0.447646003699165
-0.0499625,0.00128917836494377,0.447983954163675
-0.04995,0.000616239041172584,0.447646003699165
-0.0499375,0.00162564802682935,0.447983954163675
-0.049925,0.00128917836494377,0.447983954163675
-0.0499125,0.00128917836494377,0.447983954163675
-0.0499,0.00196211768871493,0.447983954163675
-0.0498875,0.00128917836494377,0.447646003699165
-0.049875,0.00162564802682935,0.447983954163675
-0.0498625,0.00196211768871493,0.447646003699165
-0.04985,0.00128917836494377,0.447646003699165
-0.0498375,0.00196211768871493,0.447646003699165
-0.049825,0.00196211768871493,0.447646003699165
-0.0498125,0.00162564802682935,0.447646003699165
-0.0498,0.00196211768871493,0.447983954163675
-0.0497875,0.00162564802682935,0.447646003699165
-0.049775,0.00128917836494377,0.447646003699165
-0.0497625,0.00229858735060051,0.447646003699165
-0.04975,0.00162564802682935,0.447646003699165
-0.0497375,0.00196211768871493,0.447646003699165
-0.049725,0.00229858735060051,0.447646003699165
-0.0497125,0.00128917836494377,0.447646003699165
-0.0497,0.00196211768871493,0.447646003699165
-0.0496875,0.00196211768871493,0.447646003699165
-0.049675,0.00128917836494377,0.447646003699165
-0.0496625,0.00196211768871493,0.447646003699165
-0.04965,0.00162564802682935,0.447646003699165
-0.0496375,0.00128917836494377,0.447646003699165
-0.049625,0.00196211768871493,0.447308053234654
-0.0496125,0.00162564802682935,0.447646003699165
-0.0496,0.00162564802682935,0.447646003699165
-0.0495875,0.00229858735060051,0.447308053234654
-0.049575,0.00128917836494377,0.447646003699165
-0.0495625,0.00196211768871493,0.447308053234654
-0.04955,0.00196211768871493,0.447646003699165
-0.0495375,0.00128917836494377,0.446970102770143
-0.049525,0.00196211768871493,0.447308053234654
-0.0495125,0.00162564802682935,0.447308053234654
-0.0495,0.00128917836494377,0.447308053234654
-0.0494875,0.00229858735060051,0.447646003699165
-0.049475,0.00162564802682935,0.447646003699165
-0.0494625,0.00128917836494377,0.447308053234654
-0.04945,0.00229858735060051,0.447308053234654
-0.0494375,0.00162564802682935,0.447308053234654
-0.049425,0.00162564802682935,0.447308053234654
-0.0494125,0.00196211768871493,0.447646003699165
-0.0494,0.00162564802682935,0.447308053234654
-0.0493875,0.00196211768871493,0.447646003699165
-0.049375,0.00196211768871493,0.447308053234654
-0.0493625,0.00128917836494377,0.447308053234654
-0.04935,0.00196211768871493,0.447308053234654
